track_id,artists,album_name,track_name,popularity,track_genre,genre_group
6U5CcGwPuRfhUKY2cV9YhP,Eikichi Yazawa,LIVE DECADE 1990-1999 (50th Anniversary Remastered),SOMEBODY'S NIGHT - Live at 日本武道館'96 - Remastered 2022,34,j-rock,world
09m9jUkYKbSg51QRmIMb29,Whoredom Rife,Dommedagskvad,Cursing the Storm to Come,17,black-metal,metal
4OV4EJZXL3KmvqenhDeMtk,"Christopher ""Zondaflex"" Tyler",Zonda Dance Hip Hop 101,Toprock Level 1,10,kids,inne
1bWm3k2gzhB8DFZYwfljyH,Top Cat;Serum,Gallist EP,Gallist - Serum Remix,21,drum-and-bass,electronic
62PlUgbDSHNC5L9srUX9bU,Christopher Wong,黃凱芹給您留念30首,伴侶,18,cantopop,pop
7lPLU2Ux4J4ozNIUq90JhH,Die Flippers,Ihre großen Sommerhits,Acapulco,26,party,pop
2v8B8d17Xxu9uLU5sNiHSL,Tom Jones,Delilah,Delilah,61,british,rock
5WAx7JU09H1jJaaIdUJcVh,Carta,EDM,EDM,52,deep-house,electronic
1glWVNpv9lqorae9nSCQF1,Los Pericos,1000 Vivos,Bajo El Mismo Cielo - Live,34,ska,reggae
4wmf9CnbMpsD98eA7i2Mhx,Avine Vinny,Para de Chorar,Para de Chorar,40,forro,latin
0ivLKBfGyP3cUiPy4mN9Sm,The Stooges,Maintain Your Mojo,I Wanna Be Your Dog,0,blues,jazz-soul
2PL1vyJ1erQfZvDoJ3zMnk,Fäaschtbänkler,Wir sehn uns wieder,Homo Sapiens,34,party,pop
5E00xRhYsooyC3MBA2H848,VIZE;Laniia,Stars,Stars,58,german,world
7lrP86Z9b3e867M4EqiDk2,Carlitos Junior;Pablo Chill-E,Juego de 3,Juego de 3,41,latino,latin
4PTIAmRG2ckFNySN9FArFv,Tritonal,Tritonia 399,Adelphi '88 (Tritonia 399),46,dub,reggae
1jssrCfb3ploTWL1grtaVD,Jorrgus & Crump,Na zabawie (Radio Edit),Na zabawie - Radio Edit,31,disco,electronic
02fuv91GGA2FwaOTiKQVa7,Pete Rock;C.L. Smooth,Rap Homage,They Reminisce over You,0,hardcore,metal
6tMgRC6pDQOqEnKCnAL6pT,陶晶瑩,愛缺,太委屈,54,mandopop,pop
2tgdXFSkV6RxLTaW6dA5s5,Robert Hood,Hoodmusic 2,School,10,chicago-house,electronic
2mIla23uhGqqkdNtzqIg3r,Wolfmother,Kick It,Woman,0,alt-rock,rock
1O1CppUScCSqGtEhiu1cVX,Ceephax Acid Crew,United Acid Emirates,The Celebrity,10,idm,electronic
6CHYyL3462Y2Bb2uWIIBkE,Chema Rivas,Algodón de azúcar,Algodón de azúcar,65,spanish,latin
7wBJfHzpfI3032CSD7CE2m,Travis Scott,ASTROWORLD,STARGAZING,75,house,electronic
4wPeRB4QXyqjjYGkrsunTf,Josh Williams;Don Rigsby;Kristin Scott Benson}Ron Stewart;Missy Raines;Randy Kohrs,Lonesome Highway,Cold Virginia Rain,23,bluegrass,acoustic
1uuI4ovQALuaq9srVZyTDy,Mishaal;Masked Man,Kid Goku,Kid Goku,55,sad,acoustic
1qf9g5C5G1WGabKqQBsuFC,Chronic Law,You,You,19,j-dance,world
0yhc4Hdzc6t2EAUbSJLofl,Elvis Costello & The Attractions,Armed Forces (Remastered 2020),Busy Bodies,22,power-pop,pop
3uewgGxACwca8iwi2ZVwVT,Pink Guy;Getter,Pink Season: The Prophecy,Fried Noodles (Getter Remix),45,comedy,inne
0p9HloqJbkgokaktOhiwkn,"Sarah, the Illstrumentalist",FLOWERS,Chamomile,6,study,classical
5VU7XxrQj5gfJmFKyn0Qyv,Ivan Rebroff,Best of Ivan Rebroff (18 Hits),Notschenjka,9,romance,latin
6kuudUd50kADw1HmSGoT6X,Bring Me The Horizon,Sempiternal (Expanded Edition),Hospital for Souls,57,metalcore,metal
3g1SvPCQWfw4uP2gjux94b,Los Hermanos Carrion,20 Kilates,Entre la Lluvia y Mi Llorar,29,rock-n-roll,rock
0Uftewfc4HjoNG4oPXkubS,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - All Day Classics,"8 Variations on ‘Dieu d'amour’ from ‘Les mariages samnites’ by Grétry in F, K.352: 5. Variation IV",7,classical,classical
5knZ2ikyoLL2b6zoCDU7Mg,Palito Ortega,Palito Siempre Primero,Sabor a Nada,30,rock-n-roll,rock
7FLVnDMOZXKRFgRM3C4aUG,Thirty Seconds To Mars,This Is War,Hurricane,55,grunge,rock
5EfRRJWgam2v2jpiHYYpTP,Webb Pierce,Golden Hits (Vol. 2),"Fool, Fool, Fool",9,honky-tonk,acoustic
0bqJDrb7zRLOiCnUm7MXZW,Hybrid Minds;Fred V,Drowning In You,Drowning In You,45,drum-and-bass,electronic
0gOdb6jejKS3xbWQUsQNg1,For Revenge,Second Chance,The Wall,33,hardcore,metal
569hk4SuiumGEtW4Ps7Hph,Alejandro Sanz;Alejandro Fernández,Halloween 2022 Pop Vol. 1,A Que No Me Dejas,1,latin,latin
1xh6fD02nXkJ8M4Hez7rRB,Teejay,Feel It,Feel It,23,j-dance,world
77XdIOSscAatSVaPAJz7cp,Gabby Barrett,Never Leave - Country Magic,Pick Me Up,0,country,acoustic
7vg5fesQdq5I7Z7XGdyJd5,Roses & Frey,Bad Liar,Bad Liar,50,acoustic,acoustic
6qzjlkEeWZW0CxAeZYkjqn,Mahdyar,Seized,Iran Iraq,2,iranian,world
1seWKAWyryR97hIuhDy5mT,Chatham County Line,IV,Let It Rock,20,bluegrass,acoustic
2mI1SPVGokUeX4ZRRulIrL,Pretenders,Christmas Music - Holiday Hits,2000 Miles - 2007 Remaster,0,folk,acoustic
2oq1WCCxJegpH8NFvcO7Jz,The Bombpops,Can of Worms,Can O' worms,22,power-pop,pop
7zIWzMjIQGMqg0fal19JBo,Syn Cole,Like This,Like This,58,deep-house,electronic
4pLFckcqak2ESbU07dcZ6V,楊宗憲,偷偷愛著你,這款的情愛,23,mandopop,pop
1xNVkZYuAoOsuBe2gcQZDg,Die Draufgänger,#Hektarparty,Gina Lisa (Spiel mit deinen Glocken),34,party,pop
2clRkMN4MvP88asWMvBdYk,Pinkfong,Pinkfong & Baby Shark Halloween Zombi,El Tiburón Bebé Fantasma,27,children,inne
2LQvFDHnUiT3D612LHntIN,huglord,12 Weeks,12 Weeks,49,study,classical
6n59WaykQ1wvFJNti0N4jd,Angband,Saved from the Truth,Saved from the Truth,0,iranian,world
2Jgwq9odlFwXJjgfGgrtrb,Andre,Ta szalona Karolina (Radio Edit),Ta szalona Karolina - Radio Edit,32,disco,electronic
0NfXwzpZqY8fHEoFsocmD5,Aril Brikha,Prey For Peace,Prey For Peace,5,detroit-techno,electronic
2j1fFjWHCI9KJSwcuYAOyF,BTS,You Never Walk Alone,Spring Day,76,k-pop,pop
68TOCGr2dBNzgmQthIzO7O,Mato Seco;Circuito Reggae,Mato Seco,"Mato Seco ""Resistência""",42,brazil,latin
5VkgGatfjyG1ecEov6aLOc,Anton Ishutin,Vocal Deep House Hits,Always,1,groove,jazz-soul
47KFrBgysM9cBF9BYL74lw,Kolombo;Loulou Players,Dont Go Away EP,Dont Go Away - Zombie Disco Squad Remix,19,minimal-techno,electronic
4LaZ8RpIP6DIgN73bXQVlO,keshi,GABRIEL,GET IT,62,chill,classical
34f6sZPLPVsGwgBOrW3iLu,Roo Panes,Tiger Striped Sky,Land Of The Living,55,british,rock
2xwiFAUJeS3K0QJtXRr6dd,David Arnold;Michael Price,Sherlock (Soundtrack from the TV series),The Game is On,43,british,rock
2x6wooE8QdgxHjEwnFnSo5,Keyakizaka46,永遠より長い一瞬 ~あの頃、確かに存在した私たち~(Complete Edition),もう森へ帰ろうか?,20,j-idol,world
0CXUOQZfm3X95jJNHFfb6f,Mats Rådberg;Rankarna,Det är inte lätt att va' ödmjuk,Det är inte lätt att vara ödmjuk (It's Hard to Be Humble),38,swedish,world
0VIhKSfhwjZZKteueIug3h,Corvad,Unreal,Off,16,club,electronic
5Fe4Z8NKXFeZCttRlKpQWb,Granular,Brown Noise DLX,Brown Noise 198 LPF Q Boost,39,sleep,classical
3bssz16JkTN7OKTGn6DUL9,Chaos Descent,Faces,Faces - Original Mix,0,iranian,world
6G0SscWHDmLr05nByFmhwf,Indila,Mini World (Deluxe),Love Story,45,french,world
7vHTQ2jmlgJrJLG4JuXIKe,Rafael Cerato;Goom Gum,Rock It,Rock It,35,techno,electronic
5bsyeHw6sQja0n3oUiDfMY,Kenny Rogers,Holly Jolly Christmas,I'll Be Home for Christmas,0,country,acoustic
5VgsXmsfGIBOqq0imAv4y1,31 Minutos,Arwrarwrirwrarwro (Banda Sonora Original de la Cuarta Temporada),"Drácula, Calígula, Tarántula - Coágula Espátulo",39,latino,latin
4eWJNtBuAF8RP3hmeNr6GG,Robert Hood,Mirror Man,A System Of Mirrors,7,chicago-house,electronic
7K8t9RlR5gSMR1a9ouugDK,Ten City,Atlantic 60th: On The Dance Floor Vol. 2,Devotion - Extended Version,14,chicago-house,electronic
6ua4ZcCoSABREsczFvGLI6,Luciano Pavarotti;Bryan Adams,Pavarotti & Friends 2,'O Sole Mio - Live,47,opera,classical
1gMnyo0OUAL6HDJ39lyVwU,Justin Bieber,Autumn Vibes 2022,Hold On,0,pop,pop
2YjbRNLXewpRk5FXM0xqop,Linn da Quebrada,Trava Línguas,onde,24,club,electronic
5Woxn89IL5z5YJcuWib8Qk,ALEX,ODYSSEY,ODYSSEY,39,club,electronic
4E8u2HuqtMpKMRtZILYpAr,Sebastian Yatra,Perreo Tenebroso Vol. 1,Traicionera,0,reggae,reggae
2tSEfOgn1XwBmwYZaK8swk,Cafuné,Beautiful Trending Hits 2022,Tek It,1,indie,rock
40tFJtuES1da2fg0OurUdI,Jarabe De Palo,Tragas o Escupes,Eso Que Tú Me Das,64,spanish,latin
5yUqsublv0HqbjWLDFHIaR,Sally Yeh,葉蒨文25週年經典金曲32首,只因有愛,19,cantopop,pop
1m3qFOyT5u01Yd2WBVX0cI,Sukima Switch,LINE,LINE,51,anime,inne
3tNfqKefZWX1TkxODHuJZG,Pedropiedra,Ocho,Lluvia Sobre el Mar,37,electronic,electronic
2NgPplXFmGoBHtFMQNpIHa,The Beach Boys,Christmas time but not Christmas songs 2022,Wouldn't It Be Nice - Stereo / Remastered 2012,0,psych-rock,rock
4znmnLpL9hrCDRViN58zsr,Underground Resistance,Electronic Warfare 2.0,Kill My Radio Station,11,detroit-techno,electronic
2C4qlSBJ9u5fzvciCwHy8B,Nora En Pure,Tribe of Kindness,Tribe of Kindness,51,deep-house,electronic
0ZqMKuijHpWBKcBIQSdAX0,Cass Phang,要多美麗有多美麗,無人駕駛,32,cantopop,pop
0g7vD5M0mDpxLTaJxFr6ll,Yahaira Plasencia,No Te He Robado Nada,No Te He Robado Nada,29,salsa,latin
6VNRBXV7lQz9VAHhsfYkrE,The Heavy,The Glorious Dead,Can't Play Dead,44,garage,rock
7BjBDt52upI92r3V9O7dNQ,LIONE;Heather Sommer;William Black,Glimmer (William Black Remix),Glimmer - William Black Remix,44,dub,reggae
0Rhm96c6Pe7mso2XFKxpZi,Caillou,Les chansons de Caillou,Il pleut..,33,children,inne
72KCpTzPt8NnesVsxC9iI2,Niranj Suresh,Thaniye,Thaniye,31,malay,world
6CfAtjogau9v9kmtZVrNG8,Novo Amor,If We're Being Honest,If We're Being Honest,46,ambient,classical
4GnGZNWpSLN4LfV4eA29bl,Celia Cruz;Orquesta Harlow;Larry Harlow,Celia,Gracia Divina - Live,31,salsa,latin
3ytTm0iia20PeReYx4ynQV,VNV Nation,"Of Faith, Power and Glory",Defiant,25,industrial,metal
0vgpbEfkcUF09VNkcrQRWi,Stone Sour,Audio Secrecy (Special Edition),Hesitate,50,grunge,rock
43xZo7aQ7UxTIacmAWx7Rw,Sleep Baby Sleep;Meditation Awareness;Sleep Sound Library;Outside Broadcast Recordings;Deep Sleep,"Fans, Air Units, and Other Office Ambiences (Loopable Audio for Ambiance, Meditation, Insomnia, and Restless Children)",Office Air Conditioners,34,sleep,classical
0W1OeXDPntUH0BeyJtE9UM,Fetty Wap;Monty,Fetty Wap (Deluxe),Jugg (feat. Monty),51,j-dance,world
4dUpm0QuR6MCIG5rN7XTI9,Banda Magníficos,Fonte dos Desejos,Me Usa,54,forro,latin
5Xx57TQH1ZhmSGTADjhWne,Boston 168,Black Hole,Terror Acid,34,minimal-techno,electronic
4JurqgdGROSNNEStyb2uQ9,Trampled by Turtles,Life is Good on the Open Road,Good Land,29,bluegrass,acoustic
2TelKKmeNMptJRyHE9BhEx,Edson Lima e Gatinha Manhosa,20 Grandes Sucessos: A Voz de Quem Te Ama,O Inverno Acabou,44,forro,latin
6NGfZzv0anp4yFpOehwvDq,Coti,Triste Hora,Otra Vez,0,spanish,latin
4RgqBP0RY3pQY3Z3d3fKnf,Pablo Alborán,Carretera y manta,Carretera y manta,70,spanish,latin
7kiZ6Zf66oX6yMovt3gC1a,Shankar-Ehsaan-Loy;Arijit Singh;Nihira Joshi Deshpande;Gulzar,Kill Dil,Sajde,57,pop-film,pop
3ylER3O8efY7RdeZHZuexW,Frankie Knuckles;Director's Cut;Eric Kupper;Jamie Principle,I'll Take You There,I'll Take You There - Director's Cut Classic Signature Radio Version,41,chicago-house,electronic
2wINtZRRBKxyNOwSt5ChmF,The Prodigy,Out of Space,Ruff in the Jungle Bizness - Uplifting Vibes Remix,12,breakbeat,electronic
4VPXFi4vFTtS9wHe6oMQaT,Zara Larsson,So Good,I Can't Fall in Love Without You,66,electro,electronic
73P5wYuZ1bsz0ZjsZiaSw2,Five Finger Death Punch,And Justice for None (Deluxe),Gone Away,54,groove,jazz-soul
3CRtbOoAP82y0VbPO5j1ft,Sasha Alex Sloan,Self Portrait,Too Sad To Cry,63,electro,electronic
3qGkFTw5nEDmBn8bgwFN1H,Los Auténticos Decadentes;Panteon Rococo,Los Viejos Vinagres,Los Viejos Vinagres,39,ska,reggae
4DN8e56DFCEXISA8Uqz5Pw,Lucenzo,No Me Ama,No Me Ama,61,french,world
1NwlCKiQTi4Han3nJe4vG6,Stephen Sondheim;Glynis Johns;Len Cariou;Harold Hastings,A Little Night Music (Original Broadway Cast Recording),A Little Night Music: You Must Meet My Wife,20,show-tunes,inne
4hb4UJ9a4UvniY3vz4M5Y8,Lanek,OBOK TY,OBOK TY,34,electronic,electronic
0AfIewt6bapCFSHmVjdQZP,Lady Waks,Bass Shakers 2015,"Bass Shakers 2015 - Continuous DJ Mix, Pt. 1",11,breakbeat,electronic
6yJBlQBjdYtzNai4lLyiRf,David Bisbal,Romances,Mi Princesa,36,spanish,latin
3fcQg4KJwnP4oDqCVXKi87,Tommy Ice,Nightmare,Nightmare,60,emo,rock
6teaCqn4Izl1Af1ErKcUjQ,Renascer Praise,Renascer Praise 13 - A Colheita,Eu me Rendo,45,brazil,latin
5UOFQeVsLEZKuX9VMI2qtb,Yui Horie,HONEY JET!!,silky heart,42,j-idol,world
20WOKEJgCcTSP9fpmTN9BM,From Us,Smyrna,Smyrna,59,sleep,classical
5osSw3tL07Tuid7AWsvYcc,M.O.P.;Busta Rhymes;Teflon;Remi Martin,Warriorz,"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix",62,hardcore,metal
5J89CMy1fDUEf73fi6KL9R,Cuco Sánchez,Viva México (Remastered),"Guitarras, Lloren Guitarras - Remastered",23,guitar,rock
1cUq9SX7nQL1u0kKyhT7lX,Fossils,Fossils,Aro Ekber,46,folk,acoustic
3XgnTlLJymGvu9q18AgUt4,Nonpoint,Metal Lives!,In the Air Tonight,0,industrial,metal
5RmDHH54g4IhWO0DVQzD5u,The Replacements,Pleased to Meet Me (Expanded),Birthday Gal - Demo,21,power-pop,pop
0AzezC2xzQy50q7L3g11aU,DJ Zinc;Maverick Sabre,Through It All,Through It All,24,drum-and-bass,electronic
36SadFtBPnvXixCHbYES98,Hybrid,I Choose Noise,Hooligan Spirit - Original,16,breakbeat,electronic
05Q2QXgj7NPOmYvito5OOm,Maceo Plex;Program2;Giovanni,Revision feat. Giovanni,Revision feat Giovanni - Original Mix,46,deep-house,electronic
189DQylImZ1hGZaIpAQUzx,Anu Malik;Papon;Varun Grover,Dum Laga Ke Haisha,Moh Moh Ke Dhaage (Male),58,pop-film,pop
3UDmHZcBTQp8Iu8droNtUl,The Beatles,The Beatles 1967 - 1970 (Remastered),Revolution - Remastered 2009,63,british,rock
1goBH4a2czNV7PTlswLWfN,Vince Guaraldi Trio,Christmas Faves 2022,Christmas Time Is Here - Instrumental,0,jazz,jazz-soul
571eGmDntJ9yaDXJvLzeLQ,UVIQUE;Seconds From Space,Stronger,Stronger,20,hardstyle,electronic
3gkjls8XtZPRlTsJt8B5AQ,Plastikman;Richie Hawtin,Musik,Lasttrak,12,detroit-techno,electronic
1tvvUJUGzMmprWDmpozXB2,Bobby Driscoll;Paul Collins,Classic Soundtracks: Peter Pan (1953 Film Score),Following The Leader,18,disney,inne
1tIq1IvXMN4fPXNYQQenfn,Alice Cooper,Timeless Rock Hits,School's Out,0,hard-rock,rock
7omQtrwyDfYMLqYtNgaKn6,Norlie & KKV;Benjamin Ingrosso,LUGNA LÅTAR,Som ett minne blott,1,swedish,world
19TSZedtW2YMsqkYeVleCv,Little Symphony,Sombrio,Ascar,28,ambient,classical
1KoSE5VQukgPmplWkNXbNS,9 Lazy 9,Sweet Jones,Tumbleweed,51,trip-hop,hip-hop
4t2OeILB07eMGTXSUbMPEu,Billie Eilish,Happier Than Ever,Oxytocin,72,electro,electronic
1nSEA6hcYvzAm9omZY6U7c,Giuseppe Verdi;Sir Colin Davis;Christine Brewer;London Symphony Orchestra,Verdi: Requiem,Requiem: XVII. Libera Me,23,opera,classical
10EpXLXKHmNSVKvX7A5hg8,Tritonal;Angel Taylor;Koven,Getaway (Remixes),Getaway - Koven Remix,61,dub,reggae
1Nb2v2LCq4dgZLorOGZhNJ,Deep Chills;Le Boeuf;Kersty Ryan,Weak,Weak,50,deep-house,electronic
30iLwLvJkbP0czkZ640DAh,De Doelleazen;Zender Obama,Titom!,Titom! - Dop2Dop Remix,29,happy,pop
7jEyX4bqaCSdMN4D4JNnVj,Jonas Blue;William Singe,Blue,Mama,74,dance,pop
2bEBafnFsw7a0X8rjJxdBh,Thelma Houston,Best Of Thelma Houston,Jumpin' Jack Flash,31,disco,electronic
7rtoBjKmANfE5lEd8J64uq,Anna Netrebko;PKF – Prague Philharmonia;Emmanuel Villaume,Romanza (Deluxe Edition),"Ciganské melodie, Op. 55, B. 104 - Arr. by Jiri Teml: IV. Kdyz mne stara matka",19,opera,classical
5Hroj5K7vLpIG4FNCRIjbP,American Authors,"Oh, What A Life",Best Day Of My Life,79,indie-pop,pop
4lAbzIkrGNSU9kWgy4hMXB,Weekend Nachos,Worthless,Old Friends Don't Mean Shit,23,grindcore,metal
1tbgTtEZTGDf3EGVoaKu0D,Saez,Le Manifeste Lulu (Mon Européenne) - EP,Mon Européenne,34,french,world
50HyCO6sIv2avtQ2yjy98G,Little Piano Player,Encanto,We Don't Talk About Bruno - Reprise,19,disney,inne
6ugcsEvV5CRWVcNuOWV3mR,CLS,Todd Terry Presents: Can You Feel It’ (Prok & Fitch Remix),Can You Feel It - Prok & Fitch Remix,21,drum-and-bass,electronic
4DTjE0HuAiFebTHvt6XOIn,The Rolling Stones,Pumpkin Patch Hits,Sympathy For The Devil,0,british,rock
7BhTdiEq5ioUpdD6sJinfF,Germán Montero,Pensando En Ti,Ay Que Borrachera,43,r-n-b,hip-hop
0aW9vnLHiq8UPa6kug942C,Mother Goose Club,Mother Goose Club Sings Nursery Rhymes Vol. 3: Rockin' with Robby,Where Is Thumbkin?,43,children,inne
1BCXUbnU0486n4eeTyyVIj,Charlie Puth,CHARLIE,Loser,75,dance,pop
53KH5aEFGi0PMlwAvpCT5t,Rob Scallon,Rob Scallon,Rain,47,bluegrass,acoustic
41xMnIU6DFdr8rLBencujF,Arvid Nero;Stefan Missios,Way Up North,Way Up North,20,goth,metal
7cVaJvsIIcgzSdH204p2CX,Dimitri Vegas & Like Mike;Vini Vici;Cherrymoon Trax,The House Of House,The House Of House,48,progressive-house,electronic
6WWWoLMZHauQe3YBB5DsQ9,Deluxe;IAM,Live à l'Olympia,Petit frère - Live,28,spanish,latin
5Z5nDrUm4et2SBtLDKnF38,Michael W. Smith;Lady Antebellum,Santa's Christmas List,White Christmas,0,alt-rock,rock
7H3JKR6vI3UWEtYrKSvUKG,Eddie Kendricks,The Ultimate Collection: Eddie Kendricks,Intimate Friends,33,disco,electronic
7JIp1FAaNEBjTerXUxeDTD,Panta Ray,Sea You,Sea You,56,french,world
0pUgeEX331seXqWvlXuy8v,Justin Lo,側田演唱會熱身精選,美麗之最,34,cantopop,pop
5rtBmROojOPvdwDi41bI4E,Travis Tritt,Holly Jolly Christmas,Santa Looked a Lot Like Daddy,0,country,acoustic
70JzODh1nveFQ39LPi1QXl,Kylie Minogue,Christmas Music - Holiday Hits,Santa Baby,0,electro,electronic
15Hut2YFlDCOEoSY6Qnghf,Trazendo a Arca,Deus de Promessas (Ao Vivo),Deus de Promessas - Ao Vivo,33,groove,jazz-soul
1xrfci6PJJIBzCbKTmfuX3,Mick Gordon,Doom (Original Game Soundtrack),Hellwalker,55,electronic,electronic
3NBDgwEAGMj0aKRsU8zoO9,Thomas Jack,Rivers,Rivers,56,deep-house,electronic
2R6CGc2eQJjuVEbH1eUZjq,Kina Grannis,Beyond The Sea,Beyond The Sea,48,acoustic,acoustic
3inS8wFRWzfXBQkYwI0vNf,Kvatro,The Best Of,Hallelujah,5,romance,latin
1rVLsWkUSV11ieqK5oriAk,Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Alceo Galliera,Mozart: Piano Concertos Nos. 22-27,"Piano Concerto No. 25 in C Major, K. 503: III. Allegretto",2,classical,classical
6irRoPN60ApxUZDmYz2Tsw,Peter Gregson;Richard Harwood;Reinoud Ford;Tim Lowe;Ben Chappell;Katherine Jenkinson,Bach: The Cello Suites - Recomposed by Peter Gregson,2.3 Courante,56,ambient,classical
5xAYqEHINZ6PXkLJlP0yk5,Banda Magníficos,"Campeões do Forró, Vol. 04",Chamego ou Xaveco,40,forro,latin
42XXRSqhkkfKh9h1fm3AuA,ALPHA 9;Scorz;Tom Bailey,Journey To ABGT500 pt.2,Calling (ABGT499D3),36,trance,electronic
1HoOShYNwH1VLGBPg3trqd,Rojin Sharafi,MISBHV 002: Meditations - a sonic response,Gwát,0,iranian,world
44Aivh0zXxsIsDVIZgND1L,Rojin Sharafi,Kariz,"In Your Body, In Your House",0,iranian,world
2vToi6JDPnReyVlUiHEdCR,Avslappning Sound,"Avslappnande Musik - Sova Musik för Begrundan, Sömnproblem, Avslappning, Positivt Tänkande",Chakra Meditation,33,sleep,classical
5RmAUMjGRvwJu862BonyAS,Balek,Ich bin voll,Ich bin voll,28,party,pop
1wYlJG1iY4d7xKwGSZBuR4,Sofa Surfers;Mani Obeya,Superluminal,"Out, Damn Light",48,trip-hop,hip-hop
63WuQOXohQIxOxIFA2K7bR,Måneskin,SUPERMODEL,SUPERMODEL,83,indie-pop,pop
1SBu6rtv2LOFsG1ABZ5Cwt,Ocean Sounds;Ocean Waves For Sleep,Baby Sleep: Ocean Sounds,Loopable Brown Noise,32,sleep,classical
0tWrkL51l5P9JR1Sda6WCa,Conan Osíris,"MUSICA, NORMAL",CORUJA,14,club,electronic
1R48wzOMpHavL4SIVZ1vzI,The Gathering,If_then_else,Shot to Pieces,23,goth,metal
74oc8wSuilCIueLaqNOi3B,Øostil;Juan Hansen;Massano,In My System EP,Drown - Massano Remix,52,techno,electronic
6qAmsAkDlFueG3E5Pv1TVH,Jack Hartmann,"Bop, Pop & Hip-Hop for Early Learning",If You're Happy and You Know It,8,kids,inne
0avtLG17MT8kDf9xc67Niv,Rodrigo y Gabriela,Rodrigo Y Gabriela,Tamacun,50,acoustic,acoustic
42ZwelVk9yQF4Twt9l43Ba,MUZZ;Charlotte Colley;High Maintenance,Get Crazy / Feeling Stronger (The Remixes),Feeling Stronger - High Maintenance Remix,50,dubstep,electronic
